bibtex_key;title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria;created_at;updated_at;created_by;updated_by;status;comments
velasquez_non-sequential_2009;A {Non}-sequential {Representation} of {Sequential} {Data} for {Churn} {Prediction};Eastwood, Mark and Gabrys, Bogdan;;2009;SpringerLink;209--218;5711;;incollection;10.1007/978-3-642-04595-0_26;http://link.springer.com/10.1007/978-3-642-04595-0_26;;;;Springer Berlin Heidelberg;;;"ZSCC: NoCitationData[s0]
Series Title: Lecture Notes in Computer Science";;44069,72346;44069,72346;sobreiro;;Unclassified;
furnkranz_ranking_2010;Ranking {Cases} with {Classification} {Rules};Zhang, Jianping and Bala, Jerzy W. and Hadjarian, Ali and Han, Brent;;2010;SpringerLink;155--177;;;incollection;10.1007/978-3-642-14125-6_8;http://link.springer.com/10.1007/978-3-642-14125-6_8;;;;Springer Berlin Heidelberg;;en;ZSCC: NoCitationData[s0];;44069,72346;44069,72346;sobreiro;;Unclassified;
kahraman_using_2020;Using {Support} {Vector} {Machine} for the {Prediction} of {Unpaid} {Credit} {Card} {Debts};Yontar, Meltem and Dağ, Özge Hüsniye Namlı and Yanık, Seda;;2020;SpringerLink;377--385;1029;;incollection;10.1007/978-3-030-23756-1_47;http://link.springer.com/10.1007/978-3-030-23756-1_47;;;;Springer International Publishing;;en;"ZSCC: NoCitationData[s0]
Series Title: Advances in Intelligent Systems and Computing";;44069,72346;44069,72346;sobreiro;;Unclassified;
moscato_introducing_2019;Introducing {Clustering} with a {Focus} in {Marketing} and {Consumer} {Analysis};de Vries, Natalie Jane and Olech, Łukasz P. and Moscato, Pablo;;2019;SpringerLink;165--212;;;incollection;10.1007/978-3-030-06222-4_3;http://link.springer.com/10.1007/978-3-030-06222-4_3;;;;Springer International Publishing;;en;ZSCC: 0000000;;44069,72346;44069,72346;sobreiro;;Unclassified;
dempsey_business--business_2018;Business-to-{Business} {Client} {Relationships} in the {Cloud} {Computing} {Software} as a {Service} {Realm};Dempsey, David and Kelliher, Felicity;;2018;SpringerLink;83--109;;;incollection;10.1007/978-3-319-63994-9_5;http://link.springer.com/10.1007/978-3-319-63994-9_5;;;;Springer International Publishing;;en;ZSCC: 0000002;;44069,72346;44069,72346;sobreiro;;Unclassified;
lessmann_customer-centric_2010;Customer-{Centric} {Decision} {Support}: {A} {Benchmarking} {Study} of {Novel} {Versus} {Established} {Classification} {Models};Lessmann, Stefan and Voß, Stefan;Business \& Information Systems Engineering;2010;SpringerLink;79--93;2;;article;10.1007/s12599-010-0094-8;http://link.springer.com/10.1007/s12599-010-0094-8;;;;;1867-0202;en;ZSCC: NoCitationData[s0];;44069,72346;44069,72346;sobreiro;;Unclassified;
idris_intelligent_2013;Intelligent churn prediction in telecom: employing {mRMR} feature selection and {RotBoost} based ensemble classification;Idris, Adnan and Khan, Asifullah and Lee, Yeon Soo;Applied Intelligence;2013;SpringerLink;659--672;39;;article;10.1007/s10489-013-0440-x;http://link.springer.com/10.1007/s10489-013-0440-x;;;;;0924-669X, 1573-7497;en;ZSCC: 0000063;;44069,72346;44069,72346;sobreiro;;Unclassified;
noam_marketing_2019;Marketing of {Media} and {Information};Noam, Eli M.;;2019;SpringerLink;397--452;;;incollection;10.1007/978-3-319-71288-8_10;http://link.springer.com/10.1007/978-3-319-71288-8_10;;;;Springer International Publishing;;en;ZSCC: 0000000;;44069,72346;44069,72346;sobreiro;;Unclassified;
kacprzyk_soft_2004;Soft {Computing} {Based} {Decision} {Making} and {DSS};Aliev, Rafik Aziz and Fazlollahi, Bijan and Aliev, Rashad Rafik;;2004;SpringerLink;243--331;157;;incollection;10.1007/978-3-540-44429-9_5;http://link.springer.com/10.1007/978-3-540-44429-9_5;;;;Springer Berlin Heidelberg;;;"ZSCC: NoCitationData[s0]
Series Title: Studies in Fuzziness and Soft Computing";;44069,72346;44069,72346;sobreiro;;Unclassified;
marwala_rough_2013;Rough {Sets} {Approach} to {Economic} {Modeling}: {Unlocking} {Knowledge} in {Financial} {Data};Marwala, Tshilidzi;;2013;SpringerLink;101--118;;;incollection;10.1007/978-1-4471-5010-7_6;http://link.springer.com/10.1007/978-1-4471-5010-7_6;;;;Springer London;;;"ZSCC: 0000000
Series Title: Advanced Information and Knowledge Processing";;44069,72346;44069,72346;sobreiro;;Unclassified;
