title;abstract;keywords;authors;doi
A {Non}-sequential {Representation} of {Sequential} {Data} for {Churn} {Prediction};;;Eastwood, Mark and Gabrys, Bogdan;10.1007/978-3-642-04595-0_26
Ranking {Cases} with {Classification} {Rules};;;Zhang, Jianping and Bala, Jerzy W. and Hadjarian, Ali and Han, Brent;10.1007/978-3-642-14125-6_8
Using {Support} {Vector} {Machine} for the {Prediction} of {Unpaid} {Credit} {Card} {Debts};;;Yontar, Meltem and Dağ, Özge Hüsniye Namlı and Yanık, Seda;10.1007/978-3-030-23756-1_47
Introducing {Clustering} with a {Focus} in {Marketing} and {Consumer} {Analysis};;;de Vries, Natalie Jane and Olech, Łukasz P. and Moscato, Pablo;10.1007/978-3-030-06222-4_3
Business-to-{Business} {Client} {Relationships} in the {Cloud} {Computing} {Software} as a {Service} {Realm};;;Dempsey, David and Kelliher, Felicity;10.1007/978-3-319-63994-9_5
Customer-{Centric} {Decision} {Support}: {A} {Benchmarking} {Study} of {Novel} {Versus} {Established} {Classification} {Models};;;Lessmann, Stefan and Voß, Stefan;10.1007/s12599-010-0094-8
Intelligent churn prediction in telecom: employing {mRMR} feature selection and {RotBoost} based ensemble classification;;;Idris, Adnan and Khan, Asifullah and Lee, Yeon Soo;10.1007/s10489-013-0440-x
Marketing of {Media} and {Information};;;Noam, Eli M.;10.1007/978-3-319-71288-8_10
Soft {Computing} {Based} {Decision} {Making} and {DSS};;;Aliev, Rafik Aziz and Fazlollahi, Bijan and Aliev, Rashad Rafik;10.1007/978-3-540-44429-9_5
Rough {Sets} {Approach} to {Economic} {Modeling}: {Unlocking} {Knowledge} in {Financial} {Data};;;Marwala, Tshilidzi;10.1007/978-1-4471-5010-7_6
Marketing {Models} for the {Customer}-{Centric} {Firm};;;Ascarza, Eva and Fader, Peter S. and Hardie, Bruce G. S.;10.1007/978-3-319-56941-3_10
Predicting the customer’s opinion on amazon products using selective memory architecture-based convolutional neural network;;;Mandhula, Trupthi and Pabboju, Suresh and Gugulotu, Narsimha;10.1007/s11227-019-03081-4
Intelligent data analysis approaches to churn as a business problem: a survey;;;García, David L. and Nebot, Àngela and Vellido, Alfredo;10.1007/s10115-016-0995-z
Clustering {Bank} {Customer} {Complaints} on {Social} {Media} for {Analytical} {CRM} via {Multi}-objective {Particle} {Swarm} {Optimization};;;Gavval, Rohit and Ravi, Vadlamani;10.1007/978-3-030-33820-6_9
Extracting optimal actionable plans from additive tree models;;;Lu, Qiang and Cui, Zhicheng and Chen, Yixin and Chen, Xiaoping;10.1007/s11704-016-5273-4
Improving {Tree}-{Based} {Classification} {Rules} {Using} a {Particle} {Swarm} {Optimization};;;Jun, Chi-Hyuck and Cho, Yun-Ju and Lee, Hyeseon;10.1007/978-3-642-40361-3_2
Big {Data} 2.0 {Processing} {Systems}: {Taxonomy} and {Open} {Challenges};;;Bajaber, Fuad and Elshawi, Radwa and Batarfi, Omar and Altalhi, Abdulrahman and Barnawi, Ahmed and Sakr, Sherif;10.1007/s10723-016-9371-1
Pillars of artificial intelligence;;;Neukart, Florian;10.1007/978-3-658-16176-7_2
Topics in {Substance} of {Data} {Analysis};;;Mirkin, Boris;10.1007/978-3-030-00271-8_1
A model to analyze the challenge of using cyber insurance;;;Bandyopadhyay, Trid and Mookerjee, Vijay;10.1007/s10796-017-9737-3
An {Application} of {Locally} {Linear} {Model} {Tree} {Algorithm} for {Predictive} {Accuracy} of {Credit} {Scoring};;;Siami, Mohammad and Gholamian, Mohammad Reza and Basiri, Javad and Fathian, Mohammad;10.1007/978-3-642-24443-8_15
Applying {CHAID} for logistic regression diagnostics and classification accuracy improvement;;;Antipov, Evgeny and Pokryshevskaya, Elena;10.1057/jt.2010.3
Advanced {Solutions};;;Nicoletti, Bernardo;10.1057/9781137553270_5
Learning from users: a data-driven method of {QoE} evaluation for {Internet} video;;;Yue, Ting and Wang, Hongbo and Cheng, Shiduan;10.1007/s11042-018-5918-4
Forecasting and operational research: a review;;;Fildes, R and Nikolopoulos, K and Crone, S F and Syntetos, A A;10.1057/palgrave.jors.2602597
Discriminant {Analysis} and {Other} {Linear} {Classification} {Models};;;Kuhn, Max and Johnson, Kjell;10.1007/978-1-4614-6849-3_12
A {Fuzzy}-{Based} {Approach} to {Survival} {Data} {Mining};;;Last, Mark and Halpert, Hezi;10.1007/978-3-319-19683-1_18
The {Strategic} {Business} {Value} of {Big} {Data};;;Serrato, Marco and Ramirez, Jorge;10.1007/978-3-319-45498-6_3
Knowledge discovery standards;;;Anand, Sarabjot Singh and Grobelnik, Marko and Herrmann, Frank and Hornick, Mark and Lingenfelder, Christoph and Rooney, Niall and Wettschereck, Dietrich;10.1007/s10462-008-9067-4
How to {Build} the {Right} {Digital} {Enterprise} for {Payoff} and {Monetization};;;Skilton, Mark;10.1057/9781137477729_5
Social network analysis in {Telecom} data;;;Al-Molhem, Nour Raeef and Rahal, Yasser and Dakkak, Mustapha;10.1186/s40537-019-0264-6
Mining {Customer} {Behavior} in {Trial} {Period} of a {Web} {Application} {Usage}—{Case} {Study};;;Matošević, Goran and Bevanda, Vanja;10.1007/978-3-319-33625-1_30
Nonlinear {Classification} {Models};;;Kuhn, Max and Johnson, Kjell;10.1007/978-1-4614-6849-3_13
The {Price} of {Privacy}: {An} {Evaluation} of the {Economic} {Value} of {Collecting} {Clickstream} {Data};;;Baumann, Annika and Haupt, Johannes and Gebert, Fabian and Lessmann, Stefan;10.1007/s12599-018-0528-2
The {DataOps} {Factory};;;Atwal, Harvinder;10.1007/978-1-4842-5104-1_10
