Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Fuzzy Clustering with Ensemble Classification Techniques to Improve the Customer Churn Prediction in Telecommunication Sector","Recent Developments in Machine Learning and Data Analytics","","","","10.1007/978-981-13-1280-9_25","J. VijayaE. SivasankarS. Gayathri","2019","http://link.springer.com/chapter/10.1007/978-981-13-1280-9_25","Chapter"
"Churn Prediction and Retention in Banking, Telecom and IT Sectors Using Machine Learning Techniques","Advances in Machine Learning and Computational Intelligence","","","","10.1007/978-981-15-5243-4_12","Himani JainGarima YadavR. Manoov","2021","http://link.springer.com/chapter/10.1007/978-981-15-5243-4_12","Chapter"
"Improving Customer Churn Prediction by Data Augmentation Using Pictorial Stimulus-Choice Data","Management Intelligent Systems","","","","10.1007/978-3-642-30864-2_21","Michel BallingsDirk Van den PoelEmmanuel Verhagen","2012","http://link.springer.com/chapter/10.1007/978-3-642-30864-2_21","Chapter"
"Customer Churn Models: A Comparison of Probability and Data Mining Approaches","Looking Forward, Looking Back: Drawing on the Past to Shape the Future of Marketing","","","","10.1007/978-3-319-24184-5_35","Ali Tamaddoni JahromiStanislav StakhovychMichael Ewing","2016","http://link.springer.com/chapter/10.1007/978-3-319-24184-5_35","Chapter"
"Hybrid PPFCM-ANN model: an efficient system for customer churn prediction through probabilistic possibilistic fuzzy clustering and artificial neural network","Neural Computing and Applications","","31","11","10.1007/s00521-018-3548-4","E. SivasankarJ. Vijaya","2019","http://link.springer.com/article/10.1007/s00521-018-3548-4","Article"
"Ensembles of Probability Estimation Trees for Customer Churn Prediction","Trends in Applied Intelligent Systems","","","","10.1007/978-3-642-13025-0_7","Koen W. De BockDirk Van den Poel","2010","http://link.springer.com/chapter/10.1007/978-3-642-13025-0_7","Chapter"
"Customer Churn Time Prediction in Mobile Telecommunication Industry Using Ordinal Regression","Advances in Knowledge Discovery and Data Mining","","","","10.1007/978-3-540-68125-0_88","Rupesh K. GopalSaroj K. Meher","2008","http://link.springer.com/chapter/10.1007/978-3-540-68125-0_88","Chapter"
"Rule-Based Customer Churn Prediction Model Using Artificial Neural Network Based and Rough Set Theory","Soft Computing: Theories and Applications","","","","10.1007/978-981-15-0751-9_9","Harvendra KumarRakesh Kumar Yadav","2020","http://link.springer.com/chapter/10.1007/978-981-15-0751-9_9","Chapter"
"Customer Churn Prediction for Broadband Internet Services","Data Warehousing and Knowledge Discovery","","","","10.1007/978-3-642-03730-6_19","B. Q. HuangM-T. KechadiB. Buckley","2009","http://link.springer.com/chapter/10.1007/978-3-642-03730-6_19","Chapter"
"In Pursuit of Enhanced Customer Retention Management: Review, Key Issues, and Future Directions","Customer Needs and Solutions","","5","1 - 2","10.1007/s40547-017-0080-0","Eva AscarzaScott A. NeslinOded NetzerZachery AndersonPeter S. FaderSunil GuptaBruce G. S. HardieAurélie LemmensBarak LibaiDavid NealFoster ProvostRom Schrift","2018","http://link.springer.com/article/10.1007/s40547-017-0080-0","Article"
